"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-05","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v2091177","1.8.1.1","6.3","","","","1"
"2024-06","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v2091177","1.8.1.1","6.2","","","","1"
"2024-07","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v2091177","1.8.1.1","6.7","","","","1"
"2024-08","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v2091177","1.8.1.1","7.5","","","","1"
"2024-09","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v2091177","1.8.1.1","6.0","","","","1"
"2024-10","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v2091177","1.8.1.1","6.0","","","","1"
"2024-11","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v2091177","1.8.1.1","6.5","","","","1"
"2024-12","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v2091177","1.8.1.1","6.2","","","","1"
"2025-01","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v2091177","1.8.1.1","7.1","","","","1"
"2025-02","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v2091177","1.8.1.1","6.7","","","","1"
"2025-03","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v2091177","1.8.1.1","7.1","","","","1"
"2025-04","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v2091177","1.8.1.1","7.0","","","","1"
"2025-05","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v2091177","1.8.1.1","7.0","","","","1"
"2024-05","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 24 years","Percent","239","units","0","v2091178","1.8.1.2","13.9","","","","1"
"2024-06","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 24 years","Percent","239","units","0","v2091178","1.8.1.2","13.5","","","","1"
"2024-07","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 24 years","Percent","239","units","0","v2091178","1.8.1.2","14.4","","","","1"
"2024-08","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 24 years","Percent","239","units","0","v2091178","1.8.1.2","14.3","","","","1"
"2024-09","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 24 years","Percent","239","units","0","v2091178","1.8.1.2","12.9","","","","1"
"2024-10","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 24 years","Percent","239","units","0","v2091178","1.8.1.2","11.8","","","","1"
"2024-11","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 24 years","Percent","239","units","0","v2091178","1.8.1.2","13.3","","","","1"
